info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                Category                                   OS     
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-sqlsvr2012-v5.8.8                               RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-sqlsvr2012-v5.8.8.1                             RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-sqlsvr2012-v5.8.8.12                            RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-sqlsvr2012-v5.8.8.15                            RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-v5.8.8                                          RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-SP1-x64-v5.8.8.11                                       RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-iis7.5-v13.4.12.2                                   RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-iis7.5-v13.5                                        RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-sqlsvr2012-v13.4.3.1                                RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-sqlsvr2012-v13.5.1                                  RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-sqlsvr2012ent-v13.4.3.1                             RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-sqlsvr2012ent-v13.5                                 RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-sqlsvr2k8r2-v13.5                                   RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-sqlsvr2k8r2ent-v13.5                                RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-v13.4.12.2                                          RightScale with Windows Server             Windows
data:    bd507d3a70934695bc2128e3e5a255ba__RightImage-Windows-2008R2-x64-v13.5                                               RightScale with Windows Server             Windows
